x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5
0, -0.0505981, 0, -0.597546, 0, 0.0940625, 0, -0.43808, 0, -0.205362, 0, -0.380341
1, -0.0506592, 1, -0.603223, 1, -0.143566, 1, -0.43808, 1, -0.161645, 1, -0.380341
2, -0.534698, 2, -0.669014, 2, -0.479662, 2, -0.43808, 2, -0.543413, 2, -0.509586
3, -0.538879, 3, -0.848497, 3, -0.689565, 3, -0.43808, 3, 0.285415, 3, 0.0208175
4, 0.422363, 4, -0.905823, 4, -1.4366, 4, -0.43808, 4, 0.733261, 4, 0.32971
5, -0.0479126, 5, -0.814639, 5, -0.905108, 5, -1.18385, 5, -0.588632, 5, 0.11356
6, 0.685028, 6, 0.884769, 6, -0.97437, 6, -0.857043, 6, 0.0822002, 6, 0.612458
7, 1.64758, 7, 0.157521, 7, -0.71378, 7, -1.41612, 7, 0.204744, 7, 0.563979
8, 0.938416, 8, -0.826308, 8, -0.693603, 8, -2.91107, 8, 0.251822, 8, -0.624764
9, 1.38052, 9, 0.00900204, 9, 0.86023, 9, -1.21573, 9, 0.46218, 9, -1.20128
10, 0.50766, 10, 0.450297, 10, -0.199087, 10, -1.18103, 10, 0.560932, 10, -0.867832
11, 2.08044, 11, 0.0222339, 11, -0.32226, 11, -1.22422, 11, -0.247655, 11, 0.380266
12, 0.925964, 12, 0.206603, 12, -0.382532, 12, 0.0325034, 12, -0.0122937, 12, 0.275131
13, 0.909271, 13, 0.331273, 13, -0.47329, 13, -1.04788, 13, -0.0332146, 13, -0.729581
14, 0.698822, 14, 0.504628, 14, 0.341728, 14, -1.61328, 14, 0.0380582, 14, 0.136114
15, 0.876068, 15, 0.559021, 15, 0.350274, 15, -1.65878, 15, -0.3533, 15, -0.0612074
16, 0.239197, 16, 0.521787, 16, -0.109924, 16, -1.831, 16, -1.20219, 16, -0.197951
17, 0.810211, 17, 0.160217, 17, -0.0016067, 17, -1.03449, 17, -1.58187, 17, -0.55714
18, -1.0141, 18, -0.0836349, 18, 0.463191, 18, -0.360734, 18, -0.997239, 18, 0.068454
19, -0.703278, 19, 0.129414, 19, 0.294874, 19, -0.551674, 19, -0.727278, 19, 0.488293
20, 0.879486, 20, -0.406322, 20, -1.3587, 20, -0.324241, 20, -0.117283, 20, -0.203823
21, -0.0888062, 21, -0.301039, 21, -1.92042, 21, 0.322467, 21, -0.138487, 21, -1.27157
22, -0.649384, 22, -0.316164, 22, -0.391496, 22, -0.363783, 22, -0.324712, 22, -1.40222
23, 1.65839, 23, -0.11764, 23, -0.306084, 23, -2.11671, 23, -0.811095, 23, -1.53816
24, 1.67883, 24, -0.510019, 24, -0.596746, 24, -1.14462, 24, -0.814225, 24, -1.67145
25, 2.06619, 25, -0.595352, 25, -1.73995, 25, -1.44048, 25, -0.588321, 25, -1.00317
26, -1.01379, 26, -0.0341587, 26, -1.78815, 26, -1.654, 26, 0.37661, 26, 0.167258
27, 0.431915, 27, 1.02357, 27, -0.873455, 27, -1.09819, 27, -0.74057, 27, 0.0229916
28, 1.64206, 28, 0.488988, 28, -1.34025, 28, -0.179665, 28, -0.979005, 28, -1.23814
29, 0.700836, 29, 0.063861, 29, -1.8434, 29, -0.329666, 29, -0.545085, 29, -0.273482
30, 2.57236, 30, 0.502754, 30, -1.31486, 30, -0.814633, 30, -0.229677, 30, 0.558123
31, 0.326355, 31, 0.1432, 31, -0.252614, 31, -1.11391, 31, 0.437262, 31, -0.176742
32, 1.32108, 32, -0.358914, 32, -0.390661, 32, -1.54525, 32, -0.023277, 32, -0.224157
33, 1.63507, 33, -0.41701, 33, 0.000411808, 33, -0.340339, 33, -0.703296, 33, 0.109892
34, 1.00583, 34, 0.283517, 34, 0.187018, 34, 0.0461284, 34, -0.337548, 34, 0.236012
35, 1.35672, 35, 0.320032, 35, -0.805954, 35, 0.0502014, 35, -1.34841, 35, 0.092029
36, 0.561951, 36, 0.328014, 36, -0.0698309, 36, -0.13847, 36, -1.38556, 36, 0.120881
37, 0.437683, 37, 1.06123, 37, -0.53941, 37, 0.369417, 37, -0.239691, 37, -0.0447664
38, 1.08868, 38, 0.97849, 38, -1.29389, 38, -0.607084, 38, -0.0228888, 38, -0.115699
39, 0.731903, 39, -0.0114689, 39, 0.320628, 39, -1.49758, 39, -0.5877, 39, -0.0421222
40, 0.901398, 40, -0.156852, 40, 0.437278, 40, -1.65878, 40, -0.710762, 40, -0.644177
41, 1.58655, 41, -0.249095, 41, -0.139643, 41, -1.28191, 41, -0.353019, 41, -0.333034
42, 0.998627, 42, 0.352363, 42, 1.60912, 42, -1.73395, 42, -0.0235332, 42, -0.412201
43, 2.01834, 43, 0.183947, 43, 0.252597, 43, -0.585335, 43, -0.731976, 43, -0.200706
44, 1.49622, 44, 0.315345, 44, 0.0770056, 44, -0.0101112, 44, -0.257761, 44, -0.129091
45, 1.62811, 45, -0.23795, 45, -0.223005, 45, 0.0496889, 45, -0.809339, 45, -0.82526
46, 1.23889, 46, 0.68274, 46, -0.174874, 46, -0.520569, 46, -0.759336, 46, -0.239419
47, 1.3746, 47, 0.864566, 47, 0.990122, 47, -0.87311, 47, -0.139435, 47, 0.437207
48, 2.40427, 48, 0.155284, 48, 0.977127, 48, -1.30424, 48, -0.282807, 48, -0.0384569
49, 2.05435, 49, -0.181419, 49, 0.398203, 49, -0.29376, 49, -1.08785, 49, -0.880214
50, 1.71085, 50, 0.080864, 50, -1.12635, 50, 0.96622, 50, -1.52952, 50, -0.66673
