x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,0.681824,0,0.0564295,0,-2.1334,0,-0.308807,0,0.508055,0,-1.52136
1,0.681824,1,-0.0875719,1,-1.89577,1,-0.308807,1,0.595425,1,-1.52136
2,0.681824,2,-0.0547069,2,-1.63737,2,-0.308807,2,0.598267,2,-1.52136
3,0.202667,3,0.0567456,3,-1.81892,3,-0.308807,3,-0.515832,3,-0.362845
4,3.3176,4,0.59336,4,-0.809099,4,-0.308807,4,1.31802,4,-1.13421
5,1.42487,5,0.12138,5,0.0919961,5,0.9963,5,0.955193,5,-1.68881
6,4.82166,6,1.35444,6,0.00619741,6,0.839388,6,0.632698,6,-1.82874
7,1.68353,7,2.23262,7,-0.471396,7,0.490391,7,0.12138,7,-1.82679
8,3.33621,8,1.26697,8,-0.217978,8,0.606028,8,1.54898,8,-1.69198
9,2.11295,9,1.70939,9,-0.180969,9,1.19797,9,1.28619,9,-1.47921
10,1.19006,10,1.56259,10,-0.531147,10,0.689172,10,0.828229,10,-1.32272
11,1.65839,11,0.852977,11,-1.01964,11,-0.599086,11,1.65019,11,-0.983607
12,1.72122,12,1.48554,12,-0.708819,12,0.0227578,12,1.15874,12,-0.195
13,2.4516,13,1.6648,13,-0.749016,13,0.393573,13,0.195473,13,-0.823128
14,0.0682678,14,2.40901,14,-0.37085,14,1.11316,14,0.540036,14,-0.499882
15,1.59192,15,1.93488,15,-1.01628,15,0.863361,15,1.14479,15,-0.713948
16,0.620911,16,1.27624,16,-0.779261,16,0.683063,16,0.935898,16,-1.45707
17,-0.178986,17,1.83798,17,-0.522791,17,0.495059,17,0.136399,17,-0.20076
18,1.67145,18,2.32559,18,-0.584274,18,0.948139,18,-0.445841,18,0.354387
19,1.9595,19,1.74414,19,-0.146885,19,0.967538,19,0.890885,19,-0.521451
20,3.03018,20,1.48686,20,-0.00866722,20,0.0444444,20,1.38439,20,-1.37952
21,1.22101,21,1.08098,21,-0.76194,21,0.764328,21,0.558584,21,-1.2455
22,2.17337,22,0.685063,22,-0.602818,22,0.240952,22,0.528869,22,-1.06203
23,2.62195,23,1.95404,23,-1.18083,23,0.315769,23,-0.196033,23,-2.15616
24,2.39081,24,1.86143,24,-0.871546,24,2.25742,24,-0.499434,24,-1.94334
25,2.37842,25,1.48296,25,-0.829141,25,1.35926,25,-0.318119,25,-1.70185
26,1.88916,26,1.93772,26,-1.27538,26,1.10868,26,1.02556,26,-1.59039
27,0.443451,27,2.23678,27,-1.39539,27,0.220844,27,0.990205,27,-0.785208
28,1.8829,28,1.56214,28,-0.784373,28,-0.247365,28,0.496089,28,-1.84057
29,-0.251953,29,1.33982,29,-0.590277,29,1.01028,29,0.960308,29,-1.79566
30,3.24994,30,0.959432,30,-0.983632,30,0.26373,30,1.28916,30,-1.19854
31,0.597015,31,1.43992,31,-1.07591,31,-0.250619,31,0.54143,31,-1.77409
32,1.33975,32,0.635459,32,-1.07327,32,0.442269,32,-0.185993,32,-1.21733
33,1.63507,33,1.24368,33,-1.31927,33,0.100409,33,0.710161,33,-1.06312
34,1.87589,34,2.06644,34,-1.07955,34,0.501805,34,0.928455,34,-0.603304
35,1.90253,35,1.64095,35,-0.912151,35,-0.280877,35,-0.178972,35,-0.491631
36,2.32864,36,1.83571,36,-0.513604,36,0.782083,36,0.19725,36,-1.5472
37,2.39081,37,1.95,37,-0.0901881,37,2.09237,37,0.470411,37,-1.1976
38,1.5228,38,2.14495,38,-0.914225,38,0.0945316,38,0.37649,38,-0.295213
39,2.29074,39,1.82364,39,-0.991475,39,0.58948,39,-0.393952,39,-0.85519
40,1.95163,40,2.49398,40,-0.980701,40,0.722249,40,0.543389,40,-1.38155
41,2.34296,41,2.0112,41,-0.181916,41,1.23319,41,1.08731,41,-1.14729
42,1.29117,42,1.21912,42,0.387476,42,1.21117,42,1.40861,42,-1.12444
43,2.04404,43,1.21792,43,-0.00909956,43,0.781,43,0.427108,43,-0.461791
44,1.49622,44,1.74796,44,0.450522,44,0.292283,44,0.258425,44,0.00970206
45,0.558868,45,1.5323,45,-0.101531,45,1.69066,45,0.168407,45,-0.468829
46,1.69623,46,1.04307,46,-0.11049,46,0.227244,46,-0.402165,46,-0.616941
47,1.49353,47,0.597154,47,-0.363916,47,-0.500029,47,0.0910324,47,-0.301472
48,1.41425,48,0.543037,48,-0.863137,48,-1.11976,48,1.02794,48,-0.472998
49,1.60779,49,0.861348,49,-1.79653,49,-0.537477,49,-0.43061,49,-0.751555
50,2.04172,50,0.436644,50,-0.913482,50,1.34677,50,-0.361457,50,-1.44505
51,2.14667,51,0.504748,51,-0.582656,51,0.0560492,51,-0.329547,51,-1.35188
52,1.55991,52,0.649595,52,-0.831634,52,0.715169,52,-0.202017,52,-1.49128
